Geneid	ESC	PGCLCd6	IVD.D3	IVD.D5	IVD.D7	IVD.D9	IVD.D11	IVD.D13	IVD.D15	IVD.D17	IVD.D20	DIOL.D5	DIOL.S.D1	DIOL.S.D3	DIOL.S.D5	DIOL.S.D7
1110032F04Rik	1.14333333333333	0.435	2.50333333333333	1.57666666666667	0.89	1.65333333333333	1.76333333333333	0.0833333333333333	0.463333333333333	1.19	2.66333333333333	6.21	4.19	8.94	7.95	7.455
1110034G24Rik	12.08	18.98	13.86	10.9133333333333	7.49666666666667	14.7266666666667	12.12	8.19666666666667	7.78	6.96	7.20666666666667	20.335	7.525	12.42	11.15	9.365
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0
1110037F02Rik	21.56	20.36	27.3833333333333	35.23	61.7	61.4966666666667	56.7066666666667	19.5966666666667	15.11	17.065	25.5933333333333	37.235	26.645	52.29	50.92	37.595
1110038B12Rik	596.826666666667	276.455	138.453333333333	53.05	43.8	92.5	68.5233333333333	8.8	5.62666666666667	3.34	3.05666666666667	108.705	331.885	149.68	107.785	87.69
1110038F14Rik	89.3933333333333	83.195	88.44	94.7133333333333	110.116666666667	86.7633333333333	71.7433333333333	51.6366666666667	65.2733333333333	64.685	77.31	164.005	74.775	105.07	102.755	94.835
1110046J04Rik	0.123333333333333	0	0.103333333333333	0	0	1.68666666666667	1.58	0.113333333333333	0	0.09	0	2.035	6.45	3.865	1.425	6.225
1110051M20Rik	16.6166666666667	19.765	14.9833333333333	27.5333333333333	33.9766666666667	30.1933333333333	23.1733333333333	14.56	13.68	12.605	12.63	30.12	21.135	20.785	20.015	15.135
1110058D11Rik	0	0	0	0	0	0.0866666666666667	0	0	0	0	0	0	0.26	0.415	0.46	0
1110059E24Rik	65.6066666666667	70.58	65.4733333333333	42.1866666666667	38.4866666666667	58.93	65.1733333333333	47.75	44.3433333333333	48.105	55.15	98.81	73.035	87.285	78.25	70.605
1110059G10Rik	8.62	9.44	10.11	11.9166666666667	16.9066666666667	14.9733333333333	17.6233333333333	21.1566666666667	17.4133333333333	20.505	23.6766666666667	16.8	6.135	12.49	13.57	13.735
1110065P20Rik	66.9166666666667	78.195	104.94	103.306666666667	95.2266666666667	121.883333333333	126.423333333333	84.6533333333333	76.2733333333333	75.005	77.0266666666667	69.485	68.73	96.195	65.965	82.825
1190002F15Rik	20.9166666666667	12.64	4.92	3.09666666666667	2.52666666666667	5.45333333333333	5.17	0.143333333333333	0.69	0.255	0	13.915	55.195	16.305	3.885	8.935
1190002N15Rik	26.11	3.965	15.6866666666667	32.7566666666667	36.2033333333333	39.7933333333333	39.3566666666667	15.0666666666667	20.2333333333333	29.1	53.5966666666667	14.165	23.365	17.795	30.36	46.165
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	32.83	1.65	1.95666666666667	2.93	1.42666666666667	5.61666666666667	36.64	91.27	116.553333333333	146.345	157.163333333333	79.565	22.69	49.885	47.97	48.35
1190007I07Rik	72.72	94.23	57.5	44.0066666666667	39.46	34.2866666666667	22.5	14.3833333333333	13.62	18.14	14.9066666666667	49.855	82.345	48.645	30.02	19.555
1200014J11Rik	29.0666666666667	32.885	48.0066666666667	54.4966666666667	49.77	48.6066666666667	59.4266666666667	53.7166666666667	34.1966666666667	26.185	40.1966666666667	28.665	28.07	32.95	31.46	30.62
1300002E11Rik	10.8533333333333	16.86	25.18	20.8133333333333	19.5333333333333	19.0366666666667	13.8833333333333	16.63	15.2966666666667	15.905	15.83	35.02	10.535	9.83	17.985	18.135
1300017J02Rik	0.483333333333333	0.74	1.64	4.90333333333333	13.8966666666667	9.56666666666667	5.71333333333333	3.04	1.53666666666667	1.915	2.25333333333333	0.695	2.92	0.93	1.035	0.655
1500004A13Rik	0.0133333333333333	0.055	0.166666666666667	0.68	1.54333333333333	0.293333333333333	0.02	0	0.0266666666666667	0	0	0	0	0.11	0.17	0.14
1500009C09Rik	0.72	0.14	0.113333333333333	0.323333333333333	0.45	1.55	1.1	0.643333333333333	0.75	1.045	1.22333333333333	0.925	1.38	0.66	0.27	0.875
1500009L16Rik	10.2133333333333	160.905	83.75	28.2066666666667	15.1366666666667	14.3733333333333	9.32333333333333	0.28	0	0.13	0.0433333333333333	14.145	27.415	13.325	7.245	5.85
1500011B03Rik	16.2666666666667	17.595	24.1566666666667	27.74	13.3533333333333	20.07	25.5366666666667	25.7333333333333	28.8966666666667	31.59	38.0366666666667	57.98	20.08	14.92	25.29	28.46
1500011K16Rik	88.8366666666667	24.15	14.3	24.9866666666667	18.41	24.56	27.6	22.6	22.4033333333333	28.275	26.2766666666667	66.575	33.03	28.37	30.59	36.155
1500012F01Rik	370.563333333333	289.495	172.206666666667	70.47	72.1433333333333	98.2133333333333	84.5733333333333	47.7366666666667	29.7366666666667	24.245	14.17	179.995	326.335	132.585	158.855	115.02
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195
1500015A07Rik	7.45666666666667	8.95	7.15333333333333	7.81	9.53666666666667	12.3	8.18666666666667	3.06333333333333	4.03	4.02	5.33666666666667	12.36	10.33	6.125	8.15	5.5
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	0.22	0	0.51	1.9	1.02666666666667	34.7066666666667	15.5466666666667	0.103333333333333	0	0	0	0	1.54	0.79	0.575	13.705
1500017E21Rik	0	0	0	0	0.106666666666667	0.0666666666666667	0.283333333333333	0	0	0	0	0	0.03	0	0	0
1500026H17Rik	0.0766666666666667	0.09	0.136666666666667	0.0266666666666667	0.116666666666667	0.676666666666667	0.68	0.443333333333333	0.426666666666667	0.325	0.203333333333333	0.525	0.395	1.455	1.715	0.685
1600002D24Rik	0.0966666666666667	0	0	0	0.0633333333333333	0.0266666666666667	0.803333333333333	12.2833333333333	21.7633333333333	24.87	29.65	17.01	0.445	3.15	6.775	13.06
1600002H07Rik	43.3833333333333	40.69	32.6	33.5066666666667	15.32	24.4266666666667	34.0933333333333	36.2766666666667	37.7033333333333	38.755	36.88	47.36	33.965	31.98	36.22	36.75
1600002K03Rik	27.4533333333333	28.98	41.7033333333333	42.81	65.57	38.7066666666667	25.7466666666667	14.5166666666667	11.9166666666667	10.355	7.94	46.76	12.815	18.705	24.915	24.53
1600010M07Rik	0	0.17	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	16.8566666666667	30.855	35.9666666666667	35.5333333333333	33.7866666666667	46.96	35.7066666666667	12.1266666666667	5.19666666666667	2.905	1.59	40.66	25.89	39.405	37.125	40.415
1600014C10Rik	8.13666666666667	4.66	10.7833333333333	11.6033333333333	8.07666666666667	11.6266666666667	14.0466666666667	3.81333333333333	4.02	5.045	6.67	11.52	6.655	10.605	11.345	10.87
1600014C23Rik	0.0466666666666667	1.93	0.103333333333333	0.206666666666667	0.136666666666667	1.32	0.21	0.696666666666667	0.266666666666667	0.275	0.696666666666667	0	15.36	1.245	0.84	0
1600014K23Rik	0.113333333333333	4.95	2.65333333333333	3.29	2.70666666666667	1.97666666666667	1.00333333333333	0	0	0	0	1.255	1.47	14.415	4.395	0
1600015I10Rik	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0.7	0.55	0	0	0	0	0	1.475	0.305	0	0	0
1600020E01Rik	27.0733333333333	42.3	66.8433333333333	88.09	134.14	101.063333333333	77.3333333333333	39.9233333333333	20.52	19.47	10.6	150.365	37.31	76.44	135.28	84.16
1600023N17Rik	0.59	0.54	2.44333333333333	5.72666666666667	10.4633333333333	4.80666666666667	2.35	0.67	0.0566666666666667	0.21	0.25	2.445	3.615	1.835	2.595	1.025
1600025M17Rik	0	1.24	0	0	0	0.0966666666666667	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	1.55666666666667	1.305	0.423333333333333	5.035	0	0.245	3.565	2.115
1600029I14Rik	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
1600029O15Rik	0.0933333333333333	0.08	0.1	0.116666666666667	0.06	0.09	0.04	0.09	0.05	0	0.0366666666666667	0	0	0.065	0.115	0
1700001C02Rik	0	0	0	0.0566666666666667	0	0	0	0	0	0	0	0	0.14	0	0	0
1700001C19Rik	0.34	0.42	0.2	0.21	0	0.25	0.166666666666667	0	0	0	0	0.195	0.755	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0.2	0	0	0.35	0
1700001G01Rik	0	0	0	0	0	0.0366666666666667	0	0	0	0	0	0.115	0	0	0	0
1700001G11Rik	1.61333333333333	0.585	2.53	5.21666666666667	7.80666666666667	5.08333333333333	1.55	1.86333333333333	2.75333333333333	0.72	0.55	4.12	2.465	3.04	3.635	1.695
1700001G17Rik	0.413333333333333	0.195	0.666666666666667	4.56666666666667	5.67666666666667	2.95333333333333	5.27	2.06333333333333	0.81	1.99	1.59333333333333	1.385	0.41	1.255	0.955	1.065
1700001J03Rik	0.0933333333333333	0	0	0	1.02666666666667	0.28	0.413333333333333	0.12	0	0	0	0	3.025	0.155	1.685	0.34
1700001J11Rik	0.02	0	0	0.13	0.483333333333333	0.346666666666667	0.19	0	0.0933333333333333	0	0.0466666666666667	0	0.04	0.6	0.085	0.07
1700001K19Rik	0.1	0	0.25	0	0	0	0	0.0966666666666667	0	0.09	0	0	0.155	0	0	0.185
1700001K23Rik	0.386666666666667	0.495	0	0	0.343333333333333	0.106666666666667	0.723333333333333	0.416666666666667	0	0	0	0	0.565	0.245	1.42	0
1700001L05Rik	27.65	31.29	35.5133333333333	82.68	145.233333333333	104.626666666667	115.253333333333	57.76	39.2666666666667	32.52	42.4833333333333	26.52	57.4	35.285	63.895	37.175
1700001L19Rik	0.646666666666667	1.51	2.44666666666667	1.44666666666667	1.27	1.45333333333333	4.02	5.61666666666667	2.95	2.32	2.61333333333333	18.395	1.23	5.69	7.195	10.025
1700001O22Rik	5.40666666666667	0.22	3.13666666666667	9.30666666666667	4.74666666666667	2.76333333333333	1.22666666666667	0.786666666666667	0.403333333333333	0.1	0.196666666666667	0.44	10.515	1.715	0.985	0.97
1700001P01Rik	3.19666666666667	0.865	0.826666666666667	0.26	0.623333333333333	1.45333333333333	2.19666666666667	1.98333333333333	1.08333333333333	0.25	0.616666666666667	0.285	7.335	0.965	0	1.235
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0.0533333333333333	0	0.73	0.0433333333333333	0.2	0	0	0	0	1.015	0	0	0.275	0
1700003E16Rik	0.343333333333333	0.12	0.29	1.02333333333333	1.61	1.32666666666667	0.876666666666667	0	0.153333333333333	0.04	0	1.2	0.25	0	0.35	0.295
1700003E24Rik	0	0	0	0	0	0.116666666666667	0	0	0	0	0	0	0	0	0.505	0
1700003F12Rik	0.813333333333333	0.835	0.493333333333333	1.73	1.82333333333333	0.906666666666667	4.35	0.38	0	0	0	0.48	1.675	1.525	1.085	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0.266666666666667	0.56	3.16	5.49	33.4766666666667	15.7333333333333	10.6133333333333	0.346666666666667	0.19	0.135	0.61	0	0.12	0.295	0.62	1.135
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	1.78333333333333	0.06	0	0.03	0.54	0.703333333333333	2.65666666666667	5.2	7.26333333333333	8.4	8.61	6.56	1.815	1.74	3.2	5.005
1700003M07Rik	0.743333333333333	0.335	1.01333333333333	0.53	0.906666666666667	1.40333333333333	0.223333333333333	0	0	0.03	0.0433333333333333	0.15	2.36	0.45	1.295	0.785
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0.0766666666666667	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0.16	0.12	0	0.233333333333333	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0.113333333333333	0	0	0	0.16	0	0	0	0	0
1700007B14Rik	0	0.05	0	0.123333333333333	0.35	0.16	0.52	0	0	0.04	0	0	0	0.355	0	0.08
1700007F19Rik	0	0	0	0	0.173333333333333	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0.0566666666666667	0.08	0	0.373333333333333	1.23333333333333	1.65	1.55333333333333	1.46	0.326666666666667	0.675	0.146666666666667	1.43	0.49	0.855	2.21	1.305
1700007J10Rik	0	0	0.0233333333333333	0.443333333333333	0.0633333333333333	0.62	1.49333333333333	0.553333333333333	1.04333333333333	1.58	1.97666666666667	0.315	0.09	0.325	0.62	0.08
1700007K09Rik	0.363333333333333	0.36	0.33	0.693333333333333	2.29333333333333	1.37333333333333	0.823333333333333	0.976666666666667	0.68	0.335	0.43	0.78	0.325	0	0	0.635
1700007K13Rik	102.546666666667	75.335	50.33	17.93	8.48333333333333	15.4366666666667	14.71	0.58	0.42	0	0.763333333333333	4.155	23.405	7.985	8.97	2.365
1700007L15Rik	10.5733333333333	7.83	10.8366666666667	33.1733333333333	51.8	30.6866666666667	23.4133333333333	9.30333333333333	5.92333333333333	5.61	5.24333333333333	12.245	13.29	13.62	15.805	11.38
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	1.90333333333333	2.365	5.31	14.1833333333333	20.2866666666667	14.03	10.06	1.14333333333333	1.83	2.57	2.01666666666667	7.81	3.245	8.055	7.54	6.11
