,ESCs,PGCLC_d6,IVD_D3,IVD_D5,IVD_D7,IVD_D9,IVD_D10,IVD_D11,PGC_E14.5,PGC_E16.5,PGC_E18.5,P1_oocyte_small,P3_oocyte_small,P4_oocyte_small,P6_oocyte_small,IVD_D13,IVD_D15,IVD_D17,IVD_D20,IVD_D23,2nd.fol_vivo,Incomp.GV_vivo,Comp.GV_vivo,MII_vivo,MII_vitro,2-cell,moduleColors
Spata2,12.63087292,13.35183655,15.5666343,15.18163403,13.05972209,17.27985057,21.14604514,26.01594876,11.33379239,25.90606836,35.17558162,42.51741887,43.84547266,41.17583773,38.40797477,30.97475125,34.8823277,33.74452281,40.79884477,56.84420819,57.55251864,63.22691193,25.55179713,2.273239339,10.79537269,104.6566555,darkorange
Rnf114,38.48068254,54.64643853,69.22419276,125.6931688,135.0863666,93.48339507,95.92814113,99.35262609,143.0550087,102.5953912,129.5797803,156.0278945,169.3211865,180.3452366,160.7579773,177.3475836,200.3558718,218.7972686,218.5045766,233.7199409,248.7490151,323.442309,300.3343489,229.4710702,317.5121879,110.4586333,darkturquoise
Snai1,4.297822403,1.548482981,0.95640945,0.343613724,0.707311672,1.161144529,2.040889896,1.621928584,0.210343223,1.487616447,0.919812885,1.839538976,3.585536046,3.738988034,3.937898435,11.50424823,20.29147111,36.47116206,46.2100452,53.08663351,48.97160707,34.64061582,4.821126778,3.522557436,12.46954971,165.3519673,turquoise
Tmem189,20.64748305,23.11315632,10.03437137,3.660890768,2.76211889,7.172959333,9.237693801,8.994056606,1.422794047,0.941328808,1.954871395,4.003168576,5.171179454,5.399800405,5.144338746,3.420121944,3.792303862,4.585974414,6.919106128,8.125832552,5.850932045,6.742497716,7.589884746,3.306934094,5.838545204,78.85513375,turquoise
Pard6b,10.67698093,13.42146848,10.65176423,8.974810221,7.608257342,12.03890147,15.37449318,9.857159775,8.639221136,6.969206712,8.883221721,9.302605156,8.978189663,8.141303837,8.499843478,3.167323082,4.392498014,5.376769628,9.878725535,14.37796126,12.05981535,17.47212574,32.7360962,175.5823772,148.5669113,16.54427728,yellow
Adnp,41.13674372,81.67118971,80.35803766,89.47680377,104.2605463,85.3790525,78.00270141,63.26728506,100.4305126,76.95818132,48.46684763,42.11342955,35.11694662,34.17750332,31.25797485,12.2145282,7.572287373,5.582258716,5.680792693,4.343416023,6.603426158,2.462324105,0.600951833,0.177557569,0.586184634,66.07771986,lightyellow
Mocs3,8.623947719,10.96467824,10.76414061,9.213735881,8.175900706,9.755328453,10.80027174,9.690230057,6.703060299,14.10008645,18.7873805,16.84295156,16.46297995,16.43025683,13.49164361,12.65896436,10.2106747,12.2778814,12.35919113,14.27198632,12.25177004,4.027326688,1.739733885,0.189829068,0.371660906,54.81458449,turquoise
Atp9a,15.59521894,23.79360399,45.51093846,36.72555283,24.3735205,38.47456838,45.06405026,44.52149733,32.468139,53.26442811,73.26064136,69.66531443,91.30713118,106.2577044,122.5546959,94.22557722,89.85233842,89.36870079,73.66226762,79.24655276,68.76554245,61.81624775,49.45715382,3.95056903,38.25268324,18.35712844,magenta
Sall4,60.81255127,152.4844871,126.5475027,46.28549615,19.54564953,23.13744992,17.40073463,14.83598415,20.98096827,2.289470632,2.660645531,4.03563431,4.255007469,3.698894304,4.506236852,7.848418361,12.81836691,16.1353106,30.02401694,34.07918966,47.46889935,36.7892235,56.14312326,324.2700166,228.2053365,76.11596017,yellow
Zfp64,48.04896247,70.79727559,33.16596638,12.64697971,7.744523698,12.32707987,10.10378883,7.906479024,5.734735882,2.506021865,1.277187622,1.725320524,2.238929827,2.435056306,2.410755961,2.709530099,1.605612044,1.530289991,0.716289363,0.91609975,0.460215289,0.419582909,0.410525571,0.768128856,0.95795564,0.909500282,pink
Zfp217,23.73848585,30.27585312,51.47690593,51.01847654,46.66695599,38.41884646,39.79017202,44.58852034,60.14731245,58.5423982,63.39225739,69.31153346,65.74753286,56.5530081,58.21261731,20.61909775,24.30786445,22.30146338,33.33120093,37.91248075,56.47519879,21.64252145,5.523269926,0.361401568,0.817535244,89.40605374,royalblue
Pfdn4,37.49103181,46.52316763,40.53201306,33.60245357,32.05551661,37.88182738,46.09630108,42.49878944,33.27490708,17.59603715,49.75123063,57.8782075,59.60811754,59.83875859,52.74420316,91.562725,114.2663712,140.876096,142.5691146,130.0924811,112.5080336,156.845753,204.0918658,410.2687682,344.9816075,35.98028754,green
Aurka,100.5670965,88.61918218,75.28452238,22.14976948,24.75392507,39.33151285,41.68560573,38.52850477,16.51287409,18.01060333,23.41942835,40.57670381,52.45483678,53.88253218,50.82025391,80.29342228,96.97249267,107.0197736,106.5394782,113.1380569,87.6595349,114.4244993,179.2207679,80.54703289,141.7748602,186.2999892,darkorange
Cstf1,48.57531022,69.50613049,53.58193629,31.00542158,33.92735932,42.80077064,39.52967982,40.8778815,22.75147856,45.81344016,44.56159033,41.89094923,40.09928622,39.25546382,35.70998965,37.31244955,31.57595873,32.46174297,31.86041919,33.2306834,28.29902049,28.35659104,37.611089,77.12943805,35.69955077,171.737287,turquoise
Rtfdc1,30.8293581,31.33634367,26.45407504,27.55399635,36.2021066,32.04226953,33.87625549,39.01320153,38.27424463,36.50487304,46.4910458,69.19516504,81.17887631,81.72372418,87.22844766,74.59743116,75.55777698,78.81516401,70.95447395,78.26189093,75.41783881,77.10991618,76.43881107,8.281113204,12.12219725,117.9231625,darkgreen
Tfap2c,35.09243568,131.6457942,60.70988292,12.73904898,7.777132871,13.84982606,10.49119962,7.417466629,6.595857332,1.054421116,0.12242337,1.078411408,1.209166048,1.149597336,0.554602562,2.007104769,3.579900448,5.357828962,8.762009255,7.068131196,10.69920289,8.17716271,13.27446074,28.43961687,20.97806876,91.87439457,lightcyan
Spo11,0,1.957110108,5.103371287,17.64254159,54.90093909,25.09668432,13.98278166,16.41731415,47.32211845,95.93469769,18.04277666,1.56255915,0.770434126,0.817719155,0.455153518,0.633710474,0.011982113,0.123175359,0.02621992,0,0.023666171,0.01056254,0,0.004838416,0,0,red
Rae1,88.68125303,93.49026708,89.0821875,139.414378,193.9344812,117.4426079,92.17444682,97.87207353,202.6290827,95.79973887,85.33394905,66.00461064,54.99797561,53.80379906,50.38906898,41.78023146,42.04672256,49.34612655,54.7042402,66.75139214,46.65982489,54.47706128,72.1313475,73.94403937,45.29964404,42.50214579,black
